date,offshore_date,time_y_hr,time_y_hr_120,time_y_hr_144,time_y_hr_24,time_y_hr_48,time_y_hr_72,time_y_hr_96,yhat
2018-02-05 18:00:00,2018-02-05 00:00:00,2018-02-05 18:00:00,,,,,,,1.232086960512963
2018-02-05 18:00:00,2018-02-05 00:00:00,2018-02-05 18:00:00,,,,,,,1.1599058389135515
2018-02-05 18:00:00,2018-02-04 23:00:00,2018-02-05 18:00:00,,,,,,,0.9634694363375679
2018-02-05 18:00:00,2018-02-04 23:00:00,2018-02-05 18:00:00,,,,,,,1.1106004657534145
2018-02-05 18:00:00,2018-02-04 23:00:00,2018-02-05 18:00:00,,,,,,,1.2238521645417098
2018-02-05 17:00:00,2018-02-04 23:00:00,2018-02-05 17:00:00,,,,,,,1.1728838201918648
2018-02-05 17:00:00,2018-02-04 23:00:00,2018-02-05 17:00:00,,,,,,,1.381379807936063
2018-02-05 16:00:00,2018-02-04 23:00:00,2018-02-05 16:00:00,,,,,,,1.3392921385876417
2018-02-05 15:00:00,2018-02-04 22:00:00,2018-02-05 15:00:00,,,,,,,1.346518962293175
2018-02-05 15:00:00,2018-02-04 22:00:00,2018-02-05 15:00:00,,,,,,,1.3718933299527847
2018-02-05 15:00:00,2018-02-04 22:00:00,2018-02-05 15:00:00,,,,,,,1.3479193325123837
2018-02-05 15:00:00,2018-02-04 22:00:00,2018-02-05 15:00:00,,,,,,,1.3910857968809895
2018-02-05 16:00:00,2018-02-04 22:00:00,2018-02-05 16:00:00,,,,,,,1.4544246785764365
2018-02-05 16:00:00,2018-02-04 22:00:00,2018-02-05 16:00:00,,,,,,,1.423617435773082
2018-02-05 15:00:00,2018-02-04 21:00:00,2018-02-05 15:00:00,,,,,,,1.3567843612977382
2018-02-05 15:00:00,2018-02-04 21:00:00,2018-02-05 15:00:00,,,,,,,1.352965866457867
2018-02-05 16:00:00,2018-02-04 21:00:00,2018-02-05 16:00:00,,,,,,,1.2894604003601275
2018-02-05 16:00:00,2018-02-04 21:00:00,2018-02-05 16:00:00,,,,,,,1.1279465733638148
2018-02-05 16:00:00,2018-02-04 21:00:00,2018-02-05 16:00:00,,,,,,,1.0976460282939569
2018-02-05 16:00:00,2018-02-04 21:00:00,2018-02-05 16:00:00,,,,,,,1.0409041240546677
2018-02-05 15:00:00,2018-02-04 20:00:00,2018-02-05 15:00:00,,,,,,,1.1547286929440501
